id,area,titulo,autores,status_fonte,competencia,uso_no_clinicnow
SA024,vendas,Way of the Wolf,Jordan Belfort,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA025,vendas,Secrets of Closing the Sale,Zig Ziglar,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA026,vendas,The Qualified Sales Leader,John McMahon,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA027,vendas,Cracking the Sales Management Code,Jason Jordan and Michelle Vazzana,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA028,vendas,Sales Management Simplified,Mike Weinberg,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA029,vendas,Coaching Salespeople into Sales Champions,Keith Rosen,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA030,vendas,The Transparency Sale,Todd Caponi,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA031,vendas,Selling to Big Companies,Jill Konrath,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA032,vendas,SNAP Selling,Jill Konrath,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA033,vendas,Agile Selling,Jill Konrath,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA034,vendas,Insight Selling,Mike Schultz and John Doerr,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA035,vendas,Eat Their Lunch,Anthony Iannarino,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA036,vendas,Combo Prospecting,Tony Hughes,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA037,vendas,The Lost Art of Closing,Anthony Iannarino,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA038,vendas,The JOLT Effect,Matthew Dixon and Ted McKenna,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA039,vendas,The Science of Selling,David Hoffeld,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA040,vendas,Aligning Strategy and Sales,Frank Cespedes,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
MK001,marketing,Marketing Management,Philip Kotler and Kevin Lane Keller,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK002,marketing,Principles of Marketing,Philip Kotler and Gary Armstrong,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK003,marketing,Positioning,Al Ries and Jack Trout,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK004,marketing,The 22 Immutable Laws of Marketing,Al Ries and Jack Trout,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK005,marketing,Crossing the Chasm,Geoffrey Moore,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK006,marketing,Obviously Awesome,April Dunford,fichado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK007,marketing,Play Bigger,Al Ramadan and Dave Peterson and Christopher Lochhead and Kevin Maney,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK008,marketing,Purple Cow,Seth Godin,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK009,marketing,This Is Marketing,Seth Godin,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK010,marketing,Permission Marketing,Seth Godin,aplicado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK011,marketing,Contagious,Jonah Berger,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK012,marketing,Made to Stick,Chip Heath and Dan Heath,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK013,marketing,Building a StoryBrand,Donald Miller,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK014,marketing,They Ask You Answer,Marcus Sheridan,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK015,marketing,Hooked,Nir Eyal,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK016,marketing,Traction,Gabriel Weinberg and Justin Mares,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK017,marketing,Hacking Growth,Sean Ellis and Morgan Brown,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK018,marketing,Lean Analytics,Alistair Croll and Benjamin Yoskovitz,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK019,marketing,Product-Led Growth,Wes Bush,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK020,marketing,The 1-Page Marketing Plan,Allan Dib,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK021,marketing,Scientific Advertising,Claude Hopkins,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK022,marketing,Ogilvy on Advertising,David Ogilvy,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK023,marketing,Tested Advertising Methods,John Caples,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK024,marketing,Breakthrough Advertising,Eugene Schwartz,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK025,marketing,Cashvertising,Drew Eric Whitman,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK026,marketing,The Adweek Copywriting Handbook,Joseph Sugarman,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK027,marketing,Everybody Writes,Ann Handley,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK028,marketing,Content Inc.,Joe Pulizzi,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK029,marketing,Epic Content Marketing,Joe Pulizzi,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK030,marketing,Jab Jab Jab Right Hook,Gary Vaynerchuk,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK031,marketing,One Million Followers,Brendan Kane,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK032,marketing,Superfans,Pat Flynn,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK033,marketing,How Brands Grow,Byron Sharp,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK034,marketing,Building Strong Brands,David Aaker,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK035,marketing,Strategic Brand Management,Kevin Lane Keller,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK036,marketing,The Long and the Short of It,Les Binet and Peter Field,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK037,marketing,Alchemy,Rory Sutherland,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK038,marketing,The Choice Factory,Richard Shotton,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK039,marketing,Decoded: The Science Behind Why We Buy,Phil Barden,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
MK040,marketing,Marketing Metrics,Paul Farris and Neil Bendle and Phillip Pfeifer and David Reibstein,catalogado,comunicacao_persuasiva,referencia_em_curadoria_nao_equivale_a_dominio
BU001,negocios,Good to Great,Jim Collins,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU002,negocios,Built to Last,Jim Collins and Jerry Porras,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU003,negocios,The Innovator's Dilemma,Clayton Christensen,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU004,negocios,The Innovator's Solution,Clayton Christensen and Michael Raynor,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU005,negocios,The Lean Startup,Eric Ries,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU006,negocios,Zero to One,Peter Thiel and Blake Masters,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU007,negocios,Blue Ocean Strategy,W. Chan Kim and Renee Mauborgne,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU008,negocios,Blue Ocean Shift,W. Chan Kim and Renee Mauborgne,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU009,negocios,7 Powers,Hamilton Helmer,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU010,negocios,Playing to Win,A.G. Lafley and Roger Martin,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU011,negocios,Good Strategy Bad Strategy,Richard Rumelt,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU012,negocios,Competitive Strategy,Michael Porter,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU013,negocios,Competitive Advantage,Michael Porter,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU014,negocios,The Art of Strategy,Avinash Dixit and Barry Nalebuff,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU015,negocios,Strategy Safari,Henry Mintzberg and Bruce Ahlstrand and Joseph Lampel,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU016,negocios,The Outsiders,William Thorndike,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU017,negocios,The Great CEO Within,Matt Mochary,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU018,negocios,Venture Deals,Brad Feld and Jason Mendelson,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU019,negocios,Secrets of Sand Hill Road,Scott Kupor,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU020,negocios,Financial Intelligence for Entrepreneurs,Karen Berman and Joe Knight,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU021,negocios,Simple Numbers Straight Talk Big Profits!,Greg Crabtree,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU022,negocios,Profit First,Mike Michalowicz,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU023,negocios,Scaling Up,Verne Harnish,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU024,negocios,Blitzscaling,Reid Hoffman and Chris Yeh,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU025,negocios,Competing Against Luck,Clayton Christensen and Taddy Hall and Karen Dillon and David Duncan,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU026,negocios,Value Proposition Design,Alexander Osterwalder and Yves Pigneur and Greg Bernarda and Alan Smith,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU027,negocios,Business Model Generation,Alexander Osterwalder and Yves Pigneur,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU028,negocios,Testing Business Ideas,David Bland and Alexander Osterwalder,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU029,negocios,Disciplined Entrepreneurship,Bill Aulet,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU030,negocios,Running Lean,Ash Maurya,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU031,negocios,The Four Steps to the Epiphany,Steve Blank,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU032,negocios,The Startup Owner's Manual,Steve Blank and Bob Dorf,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU033,negocios,Thinking Fast and Slow,Daniel Kahneman,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU034,negocios,Noise,Daniel Kahneman and Olivier Sibony and Cass Sunstein,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU035,negocios,Superforecasting,Philip Tetlock and Dan Gardner,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU036,negocios,Decisive,Chip Heath and Dan Heath,aplicado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU037,negocios,How to Decide,Annie Duke,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU038,negocios,Thinking in Bets,Annie Duke,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU039,negocios,The Scout Mindset,Julia Galef,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
BU040,negocios,Algorithms to Live By,Brian Christian and Tom Griffiths,catalogado,estrategia_comercial,referencia_em_curadoria_nao_equivale_a_dominio
